epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1884.67,0.852,0.50634,1.13975,0.94791,0.9263,0.96498,0.67687,1.10683,0.47575,1.28678,0.0001387,0.0001387,0.0001387
89,1906.36,0.84887,0.50378,1.14304,0.93393,0.93613,0.96374,0.67927,1.10836,0.47679,1.28856,0.0001288,0.0001288,0.0001288
90,1927.97,0.8616,0.51221,1.14239,0.93808,0.93902,0.96445,0.67923,1.10572,0.47648,1.28769,0.0001189,0.0001189,0.0001189
91,1950.94,0.86346,0.41535,1.16377,0.94571,0.9251,0.96043,0.67435,1.10935,0.47388,1.28114,0.000109,0.000109,0.000109
92,1972.05,0.82538,0.39258,1.13671,0.94168,0.92877,0.96108,0.66934,1.11359,0.47396,1.28444,9.91e-05,9.91e-05,9.91e-05
93,1993.49,0.8167,0.3858,1.13263,0.94598,0.93006,0.96143,0.67056,1.11175,0.47109,1.28299,8.92e-05,8.92e-05,8.92e-05
94,2014.49,0.81053,0.38463,1.12917,0.95209,0.92472,0.96332,0.67195,1.10801,0.47149,1.27844,7.93e-05,7.93e-05,7.93e-05
95,2035.67,0.80144,0.38036,1.12467,0.95458,0.92192,0.96318,0.67137,1.10723,0.47033,1.28083,6.94e-05,6.94e-05,6.94e-05
96,2056.28,0.79717,0.37701,1.12222,0.95134,0.91985,0.96259,0.67384,1.10366,0.46904,1.28078,5.95e-05,5.95e-05,5.95e-05
97,2077.34,0.78964,0.37295,1.11286,0.9483,0.92902,0.96472,0.67523,1.10155,0.46702,1.28144,4.96e-05,4.96e-05,4.96e-05
98,2098.43,0.7858,0.37495,1.10917,0.95098,0.92653,0.96381,0.67735,1.09988,0.46545,1.28059,3.97e-05,3.97e-05,3.97e-05
99,2117.85,0.7863,0.36935,1.10668,0.95427,0.92422,0.96349,0.67797,1.10048,0.46487,1.28154,2.98e-05,2.98e-05,2.98e-05
100,2138.64,0.77417,0.36641,1.10738,0.95099,0.92586,0.96345,0.67866,1.09946,0.46584,1.27992,1.99e-05,1.99e-05,1.99e-05
